参保ID,参保人身份证号,参保人姓名,产品ID,保险生效日期,保险终止日期
CI001,123456789012345678,张三,CIP001,2023-06-10,2024-06-10
CI002,234567890123456789,李四,CIP002,2023-06-11,2024-06-11
CI003,345678901234567890,王五,CIP003,2023-06-12,2024-06-12
CI004,456789012345678901,赵六,CIP004,2023-06-13,2024-06-13
CI005,567890123456789012,钱七,CIP005,2023-06-14,2024-06-14
CI006,678901234567890123,孙八,CIP006,2023-06-15,2024-06-15
CI007,789012345678901234,周九,CIP007,2023-06-16,2024-06-16
CI008,890123456789012345,吴十,CIP008,2023-06-17,2024-06-17
CI009,901234567890123456,郑十一,CIP009,2023-06-18,2024-06-18
CI010,012345678901234567,冯十二,CIP010,2023-06-19,2024-06-19
