住院ID,姓名,身份证号,入院日期,出院日期,诊断结果,科室,主治医生ID,主治医生姓名,医疗费用
IP00001,张晓明,430221199308098118,2023-06-10,2023-06-20,肺炎,内科,D002,王萧,5000.00
IP00002,李强,430221198507077118,2023-06-11,2023-06-21,阑尾炎,外科,D002,张伟,6000.00
IP00003,王芳,430221199210046118,2023-06-12,2023-06-22,急性肠炎,内科,D001,王萧,4500.00
IP00004,刘涛,430221198001022218,2023-06-13,2023-06-23,高血压,内科,D002,张伟,5200.00
IP00005,陈静,430221199503086118,2023-06-14,2023-06-24,心脏病,心内科,D001,王萧,7000.00
IP00006,赵亮,430221198803193118,2023-06-15,2023-06-25,糖尿病,内科,D002,张伟,4000.00
IP00007,杨敏,430221198707072118,2023-06-16,2023-06-26,肝炎,肝病科,D001,王萧,5800.00
IP00008,吴斌,430221199608081118,2023-06-17,2023-06-27,哮喘,内科,D002,张伟,6500.00
IP00009,周丽,430221199902135118,2023-06-18,2023-06-28,慢性支气管炎,内科,D001,王萧,5900.00
IP00010,郑磊,430221198902081118,2023-06-19,2023-06-29,肺结核,内科,D002,张伟,7200.00
IP00011,冯雪,430221198511245118,2023-06-20,2023-06-30,肺炎,内科,D001,王萧,5000.00
IP00012,宋杰,430221198903202118,2023-06-21,2023-07-01,阑尾炎,外科,D002,张伟,6000.00
IP00013,丁洁,430221199708150118,2023-06-22,2023-07-02,急性肠炎,内科,D001,王萧,4500.00
IP00014,崔伟,430221199201098118,2023-06-23,2023-07-03,高血压,内科,D002,张伟,5200.00
IP00015,潘华,430221199509058118,2023-06-24,2023-07-04,心脏病,心内科,D001,王萧,7000.00
IP00016,何丽,430221199804071118,2023-06-25,2023-07-05,糖尿病,内科,D002,张伟,4000.00
IP00017,韩磊,430221199202263118,2023-06-26,2023-07-06,肝炎,肝病科,D001,王萧,5800.00
IP00018,吕静,430221199601135118,2023-06-27,2023-07-07,哮喘,内科,D002,张伟,6500.00
IP00019,陆明,430221198506197118,2023-06-28,2023-07-08,慢性支气管炎,内科,D001,王萧,5900.00
IP00020,汤媛,430221199803143118,2023-06-29,2023-07-09,肺结核,内科,D002,张伟,7200.00
