参保人,身份证号,参保类型,参保状态
张三,123456789012345678,城镇职工基本医疗保险,在保
李四,234567890123456789,城乡居民基本医疗保险,在保
王五,345678901234567890,城镇职工基本医疗保险,已失效
赵六,456789012345678901,城乡居民基本医疗保险,在保
钱七,567890123456789012,城镇职工基本医疗保险,在保
孙八,678901234567890123,城乡居民基本医疗保险,已失效
周九,789012345678901234,未曾参保,未曾参保
吴十,890123456789012345,城乡居民基本医疗保险,在保
郑十一,901234567890123456,城镇职工基本医疗保险,在保
冯十二,012345678901234567,城乡居民基本医疗保险,在保
陈一,620123456789012345,城镇职工基本医疗保险,在保
吉二,731234567890123456,城乡居民基本医疗保险,已失效
杜三,842345678901234567,城镇职工基本医疗保险,在保
陶四,953456789012345678,未曾参保,未曾参保
姜五,064567890123456789,城镇职工基本医疗保险,在保
柳六,175678901234567890,城镇职工基本医疗保险,在保
韩七,286789012345678901,城乡居民基本医疗保险,已失效
曹八,397890123456789012,城镇职工基本医疗保险,在保
贺九,508901234567890123,城乡居民基本医疗保险,在保
倪十,619012345678901234,未曾参保,未曾参保
符十一,721234567890123456,城镇职工基本医疗保险,已失效
岳十二,832345678901234567,未曾参保,未曾参保
常十三,943456789012345678,城镇职工基本医疗保险,在保
康十四,054567890123456789,城镇职工基本医疗保险,在保
文十五,165678901234567890,城乡居民基本医疗保险,已失效
东十六,276789012345678901,城镇职工基本医疗保险,在保
雷十七,387890123456789012,未曾参保,未曾参保
花十八,498901234567890123,城镇职工基本医疗保险,在保
方十九,509012345678901234,城乡居民基本医疗保险,已失效
易二十,611234567890123456,城镇职工基本医疗保险,在保
安二十一,722345678901234567,城镇职工基本医疗保险,在保
谭二十二,833456789012345678,未曾参保,未曾参保
宋二十三,944567890123456789,城乡居民基本医疗保险,已失效
齐二十四,055678901234567890,未曾参保,未曾参保
黄二十五,166789012345678901,城乡居民基本医疗保险,在保
金二十六,277890123456789012,城镇职工基本医疗保险,已失效
盛二十七,388901234567890123,城镇职工基本医疗保险,在保
尹二十八,499012345678901234,城乡居民基本医疗保险,已失效
傅二十九,500123456789012345,未曾参保,未曾参保
邱三十,611234567890123456,城乡居民基本医疗保险,在保
周一,712345678901234567,城镇职工基本医疗保险,已失效
刘二,823456789012345678,城乡居民基本医疗保险,已失效
许三,934567890123456789,城镇职工基本医疗保险,在保
何四,045678901234567890,未曾参保,未曾参保
杨五,156789012345678901,城乡居民基本医疗保险,在保
谢六,267890123456789012,城镇职工基本医疗保险,已失效
石七,378901234567890123,未曾参保,未曾参保
孔八,489012345678901234,未曾参保,未曾参保
曲九,590123456789012345,城乡居民基本医疗保险,已失效
项十,601234567890123456,城镇职工基本医疗保险,在保
田十一,712345678901234567,城乡居民基本医疗保险,在保
白十二,823456789012345678,未曾参保,未曾参保
卫十三,934567890123456789,城镇职工基本医疗保险,在保
蒋十四,045678901234567890,城镇职工基本医疗保险,已失效
沈十五,156789012345678901,城乡居民基本医疗保险,已失效
韦十六,267890123456789012,未曾参保,未曾参保
汪十七,378901234567890123,城镇职工基本医疗保险,已失效
章十八,489012345678901234,城乡居民基本医疗保险,在保
包十九,590123456789012345,城乡居民基本医疗保险,已失效
陆二十,601234567890123456,城镇职工基本医疗保险,在保
秦二十一,712345678901234567,城乡居民基本医疗保险,已失效
程二十二,823456789012345678,未曾参保,未曾参保
潘二十三,934567890123456789,城镇职工基本医疗保险,在保
袁二十四,045678901234567890,城镇职工基本医疗保险,在保
梁二十五,156789012345678901,城乡居民基本医疗保险,已失效
宋二十六,267890123456789012,城镇职工基本医疗保险,在保
罗二十七,378901234567890123,未曾参保,未曾参保
张二十八,489012345678901234,城镇职工基本医疗保险,在保
魏二十九,590123456789012345,城乡居民基本医疗保险,已失效
鲁三十,601234567890123456,城镇职工基本医疗保险,在保
