检查ID,检查人姓名,检查人身份证号,检查日期,检查时间,检查类型,检查费用,负责医生ID,负责医生姓名
EX00001,张晓明,430221199308098118,2023-06-12,20:33,血液检查,50.00,D002,王萧
EX00002,李强,430221198507077118,2023-06-13,09:15,尿液检查,30.00,D001,张伟
EX00003,王芳,430221199210046118,2023-06-14,14:45,心电图,80.00,D002,王萧
EX00004,刘涛,430221198001022218,2023-06-15,11:20,X光检查,100.00,D001,张伟
EX00005,陈静,430221199503086118,2023-06-16,16:00,超声波检查,150.00,D002,王萧
EX00006,赵亮,430221198803193118,2023-06-17,10:10,血糖检查,60.00,D001,张伟
EX00007,杨敏,430221198707072118,2023-06-18,15:30,肝功能检查,70.00,D002,王萧
EX00008,吴斌,430221199608081118,2023-06-19,08:50,胆囊超声,90.00,D001,张伟
EX00009,周丽,430221199902135118,2023-06-20,13:00,心脏彩超,110.00,D002,王萧
EX00010,郑磊,430221198902081118,2023-06-21,19:45,肺功能检查,120.00,D001,张伟
EX00011,冯雪,430221198511245118,2023-06-22,12:30,血液检查,50.00,D002,王萧
EX00012,宋杰,430221198903202118,2023-06-23,09:00,尿液检查,30.00,D001,张伟
EX00013,丁洁,430221199708150118,2023-06-24,10:45,心电图,80.00,D002,王萧
EX00014,崔伟,430221199201098118,2023-06-25,14:15,X光检查,100.00,D001,张伟
EX00015,潘华,430221199509058118,2023-06-26,16:30,超声波检查,150.00,D002,王萧
EX00016,何丽,430221199804071118,2023-06-27,08:20,血糖检查,60.00,D001,张伟
EX00017,韩磊,430221199202263118,2023-06-28,11:10,肝功能检查,70.00,D002,王萧
EX00018,吕静,430221199601135118,2023-06-29,15:00,胆囊超声,90.00,D001,张伟
EX00019,陆明,430221198506197118,2023-06-30,20:30,心脏彩超,110.00,D002,王萧
EX00020,汤媛,430221199803143118,2023-07-01,09:55,肺功能检查,120.00,D001,张伟
